xxxx	xxxx	Part	Status	PDF	Comment	#N/A						SE	SE_URL
65342		65342	Found	C:\tools\rohs-automation\output_files\delock\65342_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2023/5/9/8/11/13/267835/deloc_/auto/65342_eu_conform.pdf	No					85817	http://download.siliconexpert.com/pdfs2/2022/1/4/7/24/15/430487/deloc_/auto/85817_eu_conform.pdf
85395		85395	NotFound		PartNumber Not Found	#N/A						89177	http://download.siliconexpert.com/pdfs2/2024/7/12/2/11/52/250587/deloc_/auto/89177_eu_conform-7c-i.pdf
60194		60194	NotFound		PartNumber Not Found	#N/A						89640	http://download.siliconexpert.com/pdfs2/2023/5/9/15/51/20/240875/deloc_/auto/89640_eu_conform.pdf
65324		65324	Found	C:\tools\rohs-automation\output_files\delock\65324_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2022/4/18/8/2/17/395592/deloc_/auto/65324_eu_conform.pdf	No					89704	http://download.siliconexpert.com/pdfs2/2022/4/20/1/28/12/824944/deloc_/auto/89704_eu_conform.pdf
66430		66430	NotFound		Product Tab Not found	#N/A						85976	http://download.siliconexpert.com/pdfs2/2022/1/4/7/27/17/467874/deloc_/auto/85976_eu_conform.pdf
65302		65302	Found	C:\tools\rohs-automation\output_files\delock\65302_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2022/1/4/7/18/11/31851/deloc_/auto/65302_eu_conform.pdf	No					87983	http://download.siliconexpert.com/pdfs2/2023/8/20/23/40/35/697172/deloc_/auto/87983_eu_conform.pdf
66404		66404	NotFound		Product Tab Not found	#N/A						82680	http://download.siliconexpert.com/pdfs2/2021/9/15/17/21/29/46411/deloc_/auto/82680_eu_conform.pdf
66419		66419	NotFound		Product Tab Not found	#N/A						88118	http://download.siliconexpert.com/pdfs2/2024/12/6/20/37/14/16162/deloc_/auto/88118_eu_conform.pdf
82133		82133	Found	C:\tools\rohs-automation\output_files\delock\82133_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2022/4/18/8/52/8/771536/deloc_/auto/82133_eu_conform.pdf	No					89836	http://download.siliconexpert.com/pdfs2/2023/5/10/5/5/19/154994/deloc_/auto/89836_eu_conform.pdf
81319		81319	Found	C:\tools\rohs-automation\output_files\delock\81319_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2022/1/4/7/36/40/982765/deloc_/auto/81319_eu_conform.pdf	No					89812	http://download.siliconexpert.com/pdfs2/2022/4/19/22/46/37/566641/deloc_/auto/89812_eu_conform.pdf
85160		85160	Found	C:\tools\rohs-automation\output_files\delock\85160_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2022/1/4/7/31/26/637429/deloc_/auto/85160_eu_conform.pdf	No					89970	http://download.siliconexpert.com/pdfs2/2023/5/10/15/11/48/648348/deloc_/auto/89970_eu_conform-6c.pdf
85147		85147	NotFound		PartNumber Not Found	#N/A						89972	http://download.siliconexpert.com/pdfs2/2023/5/10/15/11/53/99770/deloc_/auto/89972_eu_conform-6c.pdf
85122		85122	Found	C:\tools\rohs-automation\output_files\delock\85122_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2023/5/9/8/37/16/897273/deloc_/auto/85122_eu_conform.pdf	No					89971	http://download.siliconexpert.com/pdfs2/2023/5/10/15/11/50/847840/deloc_/auto/89971_eu_conform-6c.pdf
